ID,type,author,created_time,status_from,statues_to
CTA-1795,bug,yuanyuan,2019-07-19 03:49:34,Open,In Progress
CTA-1795,bug,yuanyuan,2019-07-19 04:22:19,,Fixed
CTA-1795,bug,jiangpeng,2019-07-19 09:10:55,Resolved,Closed
CTA-1794,bug,huanghai,2019-07-19 01:42:43,Open,In Progress
CTA-1794,bug,huanghai,2019-07-19 02:08:56,,Fixed
CTA-1794,bug,jiangpeng,2019-07-19 07:38:23,Resolved,Closed
CTA-1793,bug,huanghai,2019-07-19 01:42:35,Open,In Progress
CTA-1793,bug,huanghai,2019-07-19 02:01:55,,Fixed
CTA-1793,bug,jiangpeng,2019-07-19 03:49:21,Resolved,Closed
CTA-1792,bug,yuanyuan,2019-07-19 01:43:07,Open,In Progress
CTA-1792,bug,yuanyuan,2019-07-19 01:43:19,,Fixed
CTA-1792,bug,jiangpeng,2019-07-19 01:59:34,Resolved,Closed
CTA-1791,bug,yuanyuan,2019-07-18 10:38:45,Open,In Progress
CTA-1791,bug,yuanyuan,2019-07-18 10:38:48,,Fixed
CTA-1791,bug,jinjie,2019-07-18 11:43:06,Resolved,Closed
CTA-1790,bug,jiangpeng,2019-07-18 10:41:29,Open,In Progress
CTA-1790,bug,jiangpeng,2019-07-18 10:41:34,,Fixed
CTA-1790,bug,jiangpeng,2019-07-18 10:41:39,Resolved,Closed
CTA-1790,bug,wuxl,2019-07-18 12:56:07,,Fixed
CTA-1790,bug,jiangpeng,2019-07-19 06:03:31,Resolved,Closed
CTA-1789,bug,wuxl,2019-07-18 11:00:53,Open,In Progress
CTA-1789,bug,wuxl,2019-07-18 12:49:20,,Fixed
CTA-1789,bug,jiangpeng,2019-07-19 01:51:41,Resolved,Closed
CTA-1788,bug,hongf,2019-07-18 10:17:19,Open,In Progress
CTA-1788,bug,hongf,2019-07-18 10:17:26,,Fixed
CTA-1788,bug,jiangpeng,2019-07-18 10:35:25,Resolved,Closed
CTA-1787,bug,yuanyuan,2019-07-18 08:14:05,Open,In Progress
CTA-1787,bug,yuanyuan,2019-07-18 10:25:40,,Fixed
CTA-1787,bug,jiangpeng,2019-07-18 10:37:41,Resolved,Closed
CTA-1786,bug,yuanyuan,2019-07-18 07:46:45,Open,In Progress
CTA-1786,bug,wuxl,2019-07-18 09:08:08,,Fixed
CTA-1786,bug,jiangpeng,2019-07-18 10:11:41,Resolved,Closed
CTA-1781,bug,yuanyuan,2019-07-18 04:17:36,Open,In Progress
CTA-1781,bug,yuanyuan,2019-07-18 06:46:21,,Fixed
CTA-1781,bug,jiangpeng,2019-07-18 08:30:18,Resolved,Closed
CTA-1780,bug,hongf,2019-07-18 10:17:18,Open,In Progress
CTA-1780,bug,hongf,2019-07-18 10:17:29,,Fixed
CTA-1780,bug,jiangpeng,2019-07-18 10:35:17,Resolved,Closed
CTA-1778,bug,huanghai,2019-07-18 02:46:37,Open,In Progress
CTA-1778,bug,huanghai,2019-07-18 03:35:33,,Fixed
CTA-1778,bug,jiangpeng,2019-07-18 06:35:51,Resolved,Closed
CTA-1777,bug,wuxl,2019-07-18 09:08:35,Open,In Progress
CTA-1777,bug,wuxl,2019-07-18 11:00:38,,Fixed
CTA-1777,bug,jiangpeng,2019-07-18 12:00:58,Resolved,Closed
CTA-1776,bug,hongf,2019-07-18 02:14:55,Open,In Progress
CTA-1776,bug,hongf,2019-07-18 02:26:11,,Fixed
CTA-1776,bug,jiangpeng,2019-07-18 02:56:59,Resolved,Closed
CTA-1775,bug,wuxl,2019-07-17 14:11:22,Open,In Progress
CTA-1775,bug,wuxl,2019-07-17 21:07:08,,Fixed
CTA-1775,bug,jiangpeng,2019-07-18 02:48:40,Resolved,Closed
CTA-1774,bug,huanghai,2019-07-18 01:38:33,Open,In Progress
CTA-1774,bug,huanghai,2019-07-18 07:37:55,,Fixed
CTA-1774,bug,jiangpeng,2019-07-18 07:38:04,Resolved,Closed
CTA-1773,bug,yuanyuan,2019-07-17 13:34:34,Open,In Progress
CTA-1773,bug,yuanyuan,2019-07-17 14:07:46,,Fixed
CTA-1773,bug,wuxl,2019-07-19 04:42:12,,Fixed
CTA-1773,bug,jiangpeng,2019-07-19 07:38:18,Resolved,Closed
CTA-1772,bug,hongf,2019-07-17 12:24:19,Open,In Progress
CTA-1772,bug,hongf,2019-07-17 12:33:17,,Fixed
